5.10,3.50,0
4.90,3.00,0
4.70,3.20,0
4.90,3.00,0
4.60,3.10,0
4.60,3.10,0
4.70,3.20,0
4.60,3.40,0
5.40,3.90,0
5.00,3.60,0
4.70,3.20,0
4.70,3.20,0
5.10,3.50,0
4.40,2.90,0
5.00,3.40,0
5.40,3.70,0
4.80,3.40,0
4.80,3.00,0
5.80,4.00,0
4.80,3.40,0
4.40,2.90,0
5.10,3.50,0
5.80,4.00,0
4.40,2.90,0
5.50,2.30,1
5.40,3.90,0
5.70,3.80,0
5.40,3.90,0
5.40,3.90,0
5.40,3.90,0
5.70,4.40,0
4.80,3.40,0
5.70,2.80,1
4.70,3.20,0
5.40,3.70,0
4.90,3.10,0
5.20,2.70,1
4.80,3.40,0
5.70,2.80,1
4.80,3.00,0
6.50,2.80,1
4.80,3.40,0
5.20,2.70,1
5.10,3.50,0
6.60,2.90,1
4.60,3.40,0
7.00,3.20,1
6.40,3.20,1
4.30,3.00,0
5.40,3.90,0
5.60,2.50,1
4.30,3.00,0
5.80,4.00,0
4.60,3.40,0
6.10,2.80,1
5.80,2.70,1
5.10,3.30,0
5.00,3.60,0
5.60,2.90,1
4.80,3.10,0
5.00,3.40,0
5.80,2.70,1
6.90,3.10,1
6.70,3.10,1
6.40,3.20,1
5.80,4.00,0
4.90,3.00,0
6.30,3.30,1
5.40,3.40,0
4.80,3.00,0
5.60,3.00,1
5.10,3.30,0
5.90,3.20,1
5.10,3.80,0
4.30,3.00,0
5.10,3.80,0
5.20,2.70,1
5.00,3.20,0
5.20,3.50,0
5.00,3.60,0
5.60,3.00,1
5.50,4.20,0
5.00,3.50,0
6.10,2.80,1
6.50,2.80,1
5.10,3.50,0
6.00,2.20,1
5.20,3.40,0
4.90,3.10,0
4.40,3.20,0
6.30,3.30,1
4.60,3.20,0
4.60,3.10,0
5.10,3.50,0
5.10,3.80,0
4.90,3.00,0
5.00,2.00,1
5.20,2.70,1
